ActivoA,ActivoB,Algoritmo,Complejidad,Valor
MSFT,NFLX,Correlacion de Pearson,O(n),0,421279
MSFT,NFLX,Dynamic Time Warping (DTW),O(n*m),15,007224
MSFT,NFLX,Similitud por Coseno,O(n),0,421892
MSFT,INTC,Distancia Euclidiana,O(n),1,087080
MSFT,INTC,Correlacion de Pearson,O(n),0,324861
MSFT,INTC,Dynamic Time Warping (DTW),O(n*m),18,872569
MSFT,INTC,Similitud por Coseno,O(n),0,325504
MSFT,CSCO,Distancia Euclidiana,O(n),0,609263
MSFT,CSCO,Correlacion de Pearson,O(n),0,407634
MSFT,CSCO,Dynamic Time Warping (DTW),O(n*m),10,549332
MSFT,CSCO,Similitud por Coseno,O(n),0,408399
GOOGL,AMZN,Distancia Euclidiana,O(n),0,660358
GOOGL,AMZN,Correlacion de Pearson,O(n),0,612202
GOOGL,AMZN,Dynamic Time Warping (DTW),O(n*m),12,985377
GOOGL,AMZN,Similitud por Coseno,O(n),0,612608
GOOGL,NVDA,Distancia Euclidiana,O(n),0,995716
GOOGL,NVDA,Correlacion de Pearson,O(n),0,512682
GOOGL,NVDA,Dynamic Time Warping (DTW),O(n*m),20,095580
GOOGL,NVDA,Similitud por Coseno,O(n),0,514836
GOOGL,META,Distancia Euclidiana,O(n),0,840841
GOOGL,META,Correlacion de Pearson,O(n),0,540987
GOOGL,META,Dynamic Time Warping (DTW),O(n*m),15,220965
GOOGL,META,Similitud por Coseno,O(n),0,541698
GOOGL,TSLA,Distancia Euclidiana,O(n),1,203258
GOOGL,TSLA,Correlacion de Pearson,O(n),0,417799
GOOGL,TSLA,Dynamic Time Warping (DTW),O(n*m),24,095364
GOOGL,TSLA,Similitud por Coseno,O(n),0,418674
GOOGL,JPM,Distancia Euclidiana,O(n),0,728662
GOOGL,JPM,Correlacion de Pearson,O(n),0,330397
GOOGL,JPM,Dynamic Time Warping (DTW),O(n*m),12,718850
GOOGL,JPM,Similitud por Coseno,O(n),0,332009
GOOGL,JNJ,Distancia Euclidiana,O(n),0,767330
GOOGL,JNJ,Correlacion de Pearson,O(n),0,069679
GOOGL,JNJ,Dynamic Time Warping (DTW),O(n*m),12,751882
GOOGL,JNJ,Similitud por Coseno,O(n),0,071137
GOOGL,V,Distancia Euclidiana,O(n),0,694917
GOOGL,V,Correlacion de Pearson,O(n),0,367978
GOOGL,V,Dynamic Time Warping (DTW),O(n*m),12,126076
GOOGL,V,Similitud por Coseno,O(n),0,368786
GOOGL,PG,Distancia Euclidiana,O(n),0,759761
GOOGL,PG,Correlacion de Pearson,O(n),0,116381
GOOGL,PG,Dynamic Time Warping (DTW),O(n*m),12,533411
GOOGL,PG,Similitud por Coseno,O(n),0,116802
GOOGL,UNH,Distancia Euclidiana,O(n),0,934217
GOOGL,UNH,Correlacion de Pearson,O(n),0,115468
GOOGL,UNH,Dynamic Time Warping (DTW),O(n*m),14,206647
GOOGL,UNH,Similitud por Coseno,O(n),0,115626
GOOGL,HD,Distancia Euclidiana,O(n),0,725555
GOOGL,HD,Correlacion de Pearson,O(n),0,331766
GOOGL,HD,Dynamic Time Warping (DTW),O(n*m),12,651568
GOOGL,HD,Similitud por Coseno,O(n),0,331455
GOOGL,MA,Distancia Euclidiana,O(n),0,692601
GOOGL,MA,Correlacion de Pearson,O(n),0,391194
GOOGL,MA,Dynamic Time Warping (DTW),O(n*m),12,339784
GOOGL,MA,Similitud por Coseno,O(n),0,391820
GOOGL,DIS,Distancia Euclidiana,O(n),0,764717
GOOGL,DIS,Correlacion de Pearson,O(n),0,358013
GOOGL,DIS,Dynamic Time Warping (DTW),O(n*m),12,975270
GOOGL,DIS,Similitud por Coseno,O(n),0,356414
GOOGL,PYPL,Distancia Euclidiana,O(n),0,930724
GOOGL,PYPL,Correlacion de Pearson,O(n),0,384597
GOOGL,PYPL,Dynamic Time Warping (DTW),O(n*m),15,951010
GOOGL,PYPL,Similitud por Coseno,O(n),0,381715
GOOGL,ADBE,Distancia Euclidiana,O(n),0,776115
GOOGL,ADBE,Correlacion de Pearson,O(n),0,471934
GOOGL,ADBE,Dynamic Time Warping (DTW),O(n*m),14,183276
GOOGL,ADBE,Similitud por Coseno,O(n),0,470434
GOOGL,NFLX,Distancia Euclidiana,O(n),0,960333
GOOGL,NFLX,Correlacion de Pearson,O(n),0,362733
GOOGL,NFLX,Dynamic Time Warping (DTW),O(n*m),15,976267
